Macrotrends Data Download

Boston MA Crime Rate 1999-2018
Original Source: FBI - Crime in the U.S.

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Boston, MA, US
1999-12-31,null,550.9647,522.9527
2000-12-31,null,476.1307,506.5299
2001-12-31,null,477.8037,504.5185
2002-12-31,null,484.8641,494.3771
2003-12-31,1216.1853,473.1357,475.8351
2004-12-31,1192.4073,460.2348,463.1556
2005-12-31,1317.6788,460.7852,469.0428
2006-12-31,1339.4548,500.4821,479.3354
2007-12-31,1155.1816,441.6757,471.7739
2008-12-31,1104.4477,463.7912,458.6142
2009-12-31,991.9548,462.6162,431.8787
2010-12-31,903.4816,468.8759,404.5023
2011-12-31,845.2441,427.3042,387.0597
2012-12-31,835.0141,407.0093,387.7538
2013-12-31,782.387,406.3871,369.1334
2014-12-31,725.6885,395.0927,361.5539
2015-12-31,706.7935,389.9184,373.7372
2016-12-31,707.396,380.6574,397.5208
2017-12-31,669.2019,354.3221,394.8597
2018-12-31,622.4511,338.1121,380.559
