,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,percentage_demographic_in_boston_census_group_id,percentage_demographic_in_boston_census_group_%white,percentage_demographic_in_boston_census_group_%black,percentage_demographic_in_boston_census_group_Estimate!!Total,percentage_demographic_in_boston_census_group_Estimate!!Total!!White alone,percentage_demographic_in_boston_census_group_Estimate!!Total!!Black or African American alone,stopped_in_census,stopped_black_in_census,stopped_white_in_census,crime_in_census,%black_in_census,%white_in_census,%stopped_in_census,%black_stopped_in_census,%white_stopped_in_census,%crime_in_census
6,25,25,90600,2,1500000US250250906002,250250906002,2,BG,185325,0,1500000US250250906002,0.0596072931276297,0.721598877980365,1426.0,85.0,1029.0,0,0,0,239,0.0,0.0,0.0,0.0,0.0,0.16760168302945302
7,25,25,70900,2,1500000US250250709002,250250709002,2,BG,54005,0,1500000US250250709002,0.277721261444557,0.5340793489318411,983.0,273.0,525.0,2,2,0,156,0.0038095238095238095,0.0,0.002034587995930824,0.0038095238095238095,0.0,0.15869786368260427
13,25,25,100601,2,1500000US250251006012,250251006012,2,BG,148937,0,1500000US250251006012,0.279090113735783,0.349081364829396,1143.0,319.0,399.0,0,0,0,62,0.0,0.0,0.0,0.0,0.0,0.0542432195975503
21,25,25,120104,3,1500000US250251201043,250251201043,3,BG,94641,0,1500000US250251201043,0.874310915104741,0.0507166482910695,907.0,793.0,46.0,0,0,0,50,0.0,0.0,0.0,0.0,0.0,0.05512679162072767
25,25,25,120600,1,1500000US250251206001,250251206001,1,BG,92706,0,1500000US250251206001,0.579849946409432,0.103965702036442,933.0,541.0,97.0,0,0,0,103,0.0,0.0,0.0,0.0,0.0,0.11039657020364416
36,25,25,91900,3,1500000US250250919003,250250919003,3,BG,171800,0,1500000US250250919003,0.0683148991541965,0.674690956408588,1537.0,105.0,1037.0,0,0,0,281,0.0,0.0,0.0,0.0,0.0,0.18282368249837344
39,25,25,130300,3,1500000US250251303003,250251303003,3,BG,328016,0,1500000US250251303003,0.962441314553991,0.0375586854460094,639.0,615.0,24.0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.08450704225352113
42,25,25,81100,3,1500000US250250811003,250250811003,3,BG,117782,0,1500000US250250811003,0.699346405228758,0.127917833800187,1071.0,749.0,137.0,1,1,0,47,0.0072992700729927005,0.0,0.0009337068160597573,0.0072992700729927005,0.0,0.04388422035480859
50,25,25,120201,3,1500000US250251202013,250251202013,3,BG,243003,0,1500000US250251202013,0.60665362035225,0.148727984344423,511.0,310.0,76.0,0,0,0,113,0.0,0.0,0.0,0.0,0.0,0.22113502935420742
60,25,25,82100,2,1500000US250250821002,250250821002,2,BG,101804,0,1500000US250250821002,0.0316114109483423,0.637625289128759,2594.0,82.0,1654.0,7,5,0,234,0.003022974607013301,0.0,0.0026985350809560524,0.003022974607013301,0.0,0.09020817270624518
68,25,25,602,1,1500000US250250006021,250250006021,1,BG,164762,0,1500000US250250006021,0.551672862453532,0.0230483271375465,1345.0,742.0,31.0,0,0,0,169,0.0,0.0,0.0,0.0,0.0,0.12565055762081784
71,25,25,80601,2,1500000US250250806012,250250806012,2,BG,224465,0,1500000US250250806012,0.17391304347826098,0.669836956521739,736.0,128.0,493.0,4,2,2,237,0.004056795131845842,0.015625,0.005434782608695652,0.004056795131845842,0.015625,0.3220108695652174
79,25,25,91900,2,1500000US250250919002,250250919002,2,BG,99935,0,1500000US250250919002,0.00933609958506224,0.9232365145228221,964.0,9.0,890.0,2,2,0,165,0.0022471910112359553,0.0,0.002074688796680498,0.0022471910112359553,0.0,0.17116182572614108
86,25,25,100800,6,1500000US250251008006,250251008006,6,BG,191319,0,1500000US250251008006,0.531803962460897,0.27632950990615196,959.0,510.0,265.0,7,5,2,90,0.018867924528301886,0.00392156862745098,0.0072992700729927005,0.018867924528301886,0.00392156862745098,0.09384775808133472
95,25,25,70101,3,1500000US250250701013,250250701013,3,BG,95869,0,1500000US250250701013,0.506912442396313,0.032258064516129,868.0,440.0,28.0,16,10,5,961,0.35714285714285715,0.011363636363636364,0.018433179723502304,0.35714285714285715,0.011363636363636364,1.1071428571428572
100,25,25,71101,1,1500000US250250711011,250250711011,1,BG,139344,0,1500000US250250711011,0.5739614994934139,0.0476190476190476,1974.0,1133.0,94.0,5,3,2,255,0.031914893617021274,0.00176522506619594,0.0025329280648429585,0.031914893617021274,0.00176522506619594,0.12917933130699089
102,25,25,130406,2,1500000US250251304062,250251304062,2,BG,650884,0,1500000US250251304062,0.49510831586303294,0.367924528301887,2862.0,1417.0,1053.0,0,0,0,169,0.0,0.0,0.0,0.0,0.0,0.05904961565338924
107,25,25,50200,1,1500000US250250502001,250250502001,1,BG,96798,0,1500000US250250502001,0.515167095115681,0.0107969151670951,1945.0,1002.0,21.0,0,0,0,177,0.0,0.0,0.0,0.0,0.0,0.0910025706940874
108,25,25,61000,3,1500000US250250610003,250250610003,3,BG,55151,0,1500000US250250610003,0.628378378378378,0.138513513513514,592.0,372.0,82.0,0,0,0,66,0.0,0.0,0.0,0.0,0.0,0.11148648648648649
115,25,25,130404,3,1500000US250251304043,250251304043,3,BG,132354,0,1500000US250251304043,0.6861538461538461,0.0738461538461539,325.0,223.0,24.0,2,0,2,39,0.0,0.008968609865470852,0.006153846153846154,0.0,0.008968609865470852,0.12
131,25,25,110403,3,1500000US250251104033,250251104033,3,BG,160789,0,1500000US250251104033,0.576998050682261,0.220272904483431,513.0,296.0,113.0,0,0,0,53,0.0,0.0,0.0,0.0,0.0,0.10331384015594541
