STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,percentage_demographic_in_boston_census_group_id,percentage_demographic_in_boston_census_group_%white,percentage_demographic_in_boston_census_group_%black,percentage_demographic_in_boston_census_group_Estimate!!Total,percentage_demographic_in_boston_census_group_Estimate!!Total!!White alone,percentage_demographic_in_boston_census_group_Estimate!!Total!!Black or African American alone,stopped_in_census,stopped_black_in_census,stopped_white_in_census,crime_in_census
"25","009","203301","4",1500000US250092033014,"250092033014","4",BG,"527865","632911",,,,,,,0,0,0,0
"25","023","530802","1",1500000US250235308021,"250235308021","1",BG,"810134","1960222",,,,,,,0,0,0,0
"25","017","383800","2",1500000US250173838002,"250173838002","2",BG,"796907","13889",,,,,,,0,0,0,0
"25","021","401000","2",1500000US250214010002,"250214010002","2",BG,"235940","5519",,,,,,,0,0,0,0
"25","017","350104","2",1500000US250173501042,"250173501042","2",BG,"277237","0",,,,,,,0,0,0,0
"25","023","510700","3",1500000US250235107003,"250235107003","3",BG,"285759","0",,,,,,,0,0,0,0
"25","025","090600","2",1500000US250250906002,"250250906002","2",BG,"185325","0",1500000US250250906002,0.0596072931276297,0.721598877980365,"1426","85","1029",0,0,0,239
"25","025","070900","2",1500000US250250709002,"250250709002","2",BG,"54005","0",1500000US250250709002,0.277721261444557,0.534079348931841,"983","273","525",2,2,0,156
"25","009","250500","3",1500000US250092505003,"250092505003","3",BG,"146651","3894",,,,,,,0,0,0,0
"25","009","205200","3",1500000US250092052003,"250092052003","3",BG,"209536","0",,,,,,,0,0,0,0
"25","017","338500","3",1500000US250173385003,"250173385003","3",BG,"736241","4434",,,,,,,0,0,0,0
"25","023","511500","1",1500000US250235115001,"250235115001","1",BG,"166179","0",,,,,,,0,0,0,0
"25","005","640901","5",1500000US250056409015,"250056409015","5",BG,"55903","0",,,,,,,0,0,0,0
"25","025","100601","2",1500000US250251006012,"250251006012","2",BG,"148937","0",1500000US250251006012,0.279090113735783,0.349081364829396,"1143","319","399",0,0,0,62
"25","005","641000","2",1500000US250056410002,"250056410002","2",BG,"89240","0",,,,,,,0,0,0,0
"25","009","206000","1",1500000US250092060001,"250092060001","1",BG,"131884","0",,,,,,,0,0,0,0
"25","009","204600","3",1500000US250092046003,"250092046003","3",BG,"565591","542624",,,,,,,0,0,0,0
"25","017","335100","1",1500000US250173351001,"250173351001","1",BG,"781574","29784",,,,,,,0,0,0,0
"25","017","351100","2",1500000US250173511002,"250173511002","2",BG,"125159","0",,,,,,,0,0,0,0
"25","023","506102","5",1500000US250235061025,"250235061025","5",BG,"1156560","0",,,,,,,0,0,0,0
"25","005","655300","1",1500000US250056553001,"250056553001","1",BG,"2441090","7860",,,,,,,0,0,0,0
"25","025","120104","3",1500000US250251201043,"250251201043","3",BG,"94641","0",1500000US250251201043,0.874310915104741,0.0507166482910695,"907","793","46",0,0,0,50
"25","027","731400","5",1500000US250277314005,"250277314005","5",BG,"204453","0",,,,,,,0,0,0,0
"25","017","311800","2",1500000US250173118002,"250173118002","2",BG,"164370","0",,,,,,,0,0,0,0
"25","021","418002","5",1500000US250214180025,"250214180025","5",BG,"326936","0",,,,,,,0,0,0,0
"25","025","120600","1",1500000US250251206001,"250251206001","1",BG,"92706","0",1500000US250251206001,0.579849946409432,0.103965702036442,"933","541","97",0,0,0,103
"25","021","417100","1",1500000US250214171001,"250214171001","1",BG,"143316","0",,,,,,,0,0,0,0
"25","005","651100","3",1500000US250056511003,"250056511003","3",BG,"177236","0",,,,,,,0,0,0,0
"25","005","630400","3",1500000US250056304003,"250056304003","3",BG,"1174609","64809",,,,,,,0,0,0,0
"25","017","351000","1",1500000US250173510001,"250173510001","1",BG,"128740","0",,,,,,,0,0,0,0
"25","009","254100","2",1500000US250092541002,"250092541002","2",BG,"872586","25867",,,,,,,0,0,0,0
"25","027","731400","4",1500000US250277314004,"250277314004","4",BG,"189855","0",,,,,,,0,0,0,0
"25","009","252501","2",1500000US250092525012,"250092525012","2",BG,"377298","0",,,,,,,0,0,0,0
"25","017","385100","1",1500000US250173851001,"250173851001","1",BG,"2219059","106352",,,,,,,0,0,0,0
"25","009","217600","1",1500000US250092176001,"250092176001","1",BG,"3368785","14496",,,,,,,0,0,0,0
"25","021","416200","2",1500000US250214162002,"250214162002","2",BG,"166420","0",,,,,,,0,0,0,0
"25","025","091900","3",1500000US250250919003,"250250919003","3",BG,"171800","0",1500000US250250919003,0.0683148991541965,0.674690956408588,"1537","105","1037",0,0,0,281
"25","009","202200","6",1500000US250092022006,"250092022006","6",BG,"487880","588",,,,,,,0,0,0,0
"25","001","013300","3",1500000US250010133003,"250010133003","3",BG,"4351686","892179",,,,,,,0,0,0,0
"25","025","130300","3",1500000US250251303003,"250251303003","3",BG,"328016","0",1500000US250251303003,0.962441314553991,0.0375586854460094,"639","615","24",0,0,0,54
"25","027","750100","2",1500000US250277501002,"250277501002","2",BG,"1992905","328585",,,,,,,0,0,0,0
"25","017","383700","2",1500000US250173837002,"250173837002","2",BG,"411675","0",,,,,,,0,0,0,0
