id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
1500000US250250103002,"Block Group 2, Census Tract 103, Suffolk County, Massachusetts",3987,336,2940,328,233,101,0,12,537,127,4,8,123,61,150,69,39,32,111,64
1500000US250251704003,"Block Group 3, Census Tract 1704, Suffolk County, Massachusetts",1025,335,741,324,37,43,0,12,23,34,0,12,66,111,158,180,0,12,158,180
1500000US250251001004,"Block Group 4, Census Tract 1001, Suffolk County, Massachusetts",718,311,119,99,490,289,0,12,0,12,0,12,15,35,94,139,0,12,94,139
1500000US250251004003,"Block Group 3, Census Tract 1004, Suffolk County, Massachusetts",808,350,49,52,473,215,0,12,92,142,0,12,175,279,19,28,0,12,19,28
1500000US250250913002,"Block Group 2, Census Tract 913, Suffolk County, Massachusetts",1324,259,156,121,876,215,0,12,25,28,0,12,178,133,89,78,28,31,61,76
1500000US250251104034,"Block Group 4, Census Tract 1104.03, Suffolk County, Massachusetts",1095,275,648,193,151,95,0,12,58,69,0,12,231,205,7,12,0,12,7,12
1500000US250250511011,"Block Group 1, Census Tract 511.01, Suffolk County, Massachusetts",2363,701,1721,492,155,212,0,12,0,12,0,12,26,40,461,428,0,12,461,428
1500000US250250919001,"Block Group 1, Census Tract 919, Suffolk County, Massachusetts",1021,404,169,126,671,382,0,12,0,12,0,12,136,131,45,53,6,9,39,51
1500000US250250509012,"Block Group 2, Census Tract 509.01, Suffolk County, Massachusetts",1943,396,1038,365,11,16,0,12,53,59,0,12,19,24,822,358,82,109,740,361
1500000US250250821003,"Block Group 3, Census Tract 821, Suffolk County, Massachusetts",2355,626,265,227,1664,511,0,12,20,37,0,12,277,206,129,150,0,12,129,150
