,id,Geographic Area Name,%white,%black,Estimate!!Total,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone
0,1500000US250250103002,"Block Group 2, Census Tract 103, Suffolk County, Massachusetts",0.7373965387509406,0.058439929771758214,3987,2940,233
1,1500000US250251704003,"Block Group 3, Census Tract 1704, Suffolk County, Massachusetts",0.7229268292682927,0.03609756097560975,1025,741,37
2,1500000US250251001004,"Block Group 4, Census Tract 1001, Suffolk County, Massachusetts",0.16573816155988857,0.6824512534818942,718,119,490
3,1500000US250251004003,"Block Group 3, Census Tract 1004, Suffolk County, Massachusetts",0.06064356435643564,0.5853960396039604,808,49,473
4,1500000US250250913002,"Block Group 2, Census Tract 913, Suffolk County, Massachusetts",0.11782477341389729,0.6616314199395771,1324,156,876
5,1500000US250251104034,"Block Group 4, Census Tract 1104.03, Suffolk County, Massachusetts",0.5917808219178082,0.13789954337899543,1095,648,151
6,1500000US250250511011,"Block Group 1, Census Tract 511.01, Suffolk County, Massachusetts",0.728311468472281,0.06559458315700381,2363,1721,155
7,1500000US250250919001,"Block Group 1, Census Tract 919, Suffolk County, Massachusetts",0.16552399608227228,0.6571988246816847,1021,169,671
8,1500000US250250509012,"Block Group 2, Census Tract 509.01, Suffolk County, Massachusetts",0.5342254246011323,0.005661348430262481,1943,1038,11
9,1500000US250250821003,"Block Group 3, Census Tract 821, Suffolk County, Massachusetts",0.11252653927813164,0.7065817409766454,2355,265,1664
10,1500000US250250607002,"Block Group 2, Census Tract 607, Suffolk County, Massachusetts",0.30261348005502064,0.30261348005502064,1454,440,440
11,1500000US250251003001,"Block Group 1, Census Tract 1003, Suffolk County, Massachusetts",0.009302325581395349,0.8604651162790697,1505,14,1295
12,1500000US250251010023,"Block Group 3, Census Tract 1010.02, Suffolk County, Massachusetts",0.042786823173040514,0.859522907989398,2641,113,2270
13,1500000US250250008023,"Block Group 3, Census Tract 8.02, Suffolk County, Massachusetts",0.4157754010695187,0.012032085561497326,748,311,9
14,1500000US250250004021,"Block Group 1, Census Tract 4.02, Suffolk County, Massachusetts",0.776778413736713,0.04987735077677841,1223,950,61
15,1500000US250251001007,"Block Group 7, Census Tract 1001, Suffolk County, Massachusetts",0.16288659793814433,0.797938144329897,970,158,774
16,1500000US250251106072,"Block Group 2, Census Tract 1106.07, Suffolk County, Massachusetts",0.8997050147492626,0.08967551622418879,1695,1525,152
17,1500000US250250821002,"Block Group 2, Census Tract 821, Suffolk County, Massachusetts",0.03161141094834233,0.6376252891287587,2594,82,1654
18,1500000US250251304025,"Block Group 5, Census Tract 1304.02, Suffolk County, Massachusetts",0.6246472248353716,0.0,1063,664,0
19,1500000US250259811002,"Block Group 2, Census Tract 9811, Suffolk County, Massachusetts",,,0,0,0
20,1500000US250251010012,"Block Group 2, Census Tract 1010.01, Suffolk County, Massachusetts",0.044854881266490766,0.8970976253298153,379,17,340
21,1500000US250250612003,"Block Group 3, Census Tract 612, Suffolk County, Massachusetts",0.9675881792183031,0.0009532888465204957,1049,1015,1
22,1500000US250250107013,"Block Group 3, Census Tract 107.01, Suffolk County, Massachusetts",0.8509687034277198,0.01639344262295082,671,571,11
23,1500000US250251707023,"Block Group 3, Census Tract 1707.02, Suffolk County, Massachusetts",0.6528345996493279,0.06253652834599649,1711,1117,107
24,1500000US250250922002,"Block Group 2, Census Tract 922, Suffolk County, Massachusetts",0.22626931567328917,0.6059602649006622,906,205,549
25,1500000US250251304062,"Block Group 2, Census Tract 1304.06, Suffolk County, Massachusetts",0.49510831586303283,0.36792452830188677,2862,1417,1053
26,1500000US250250002022,"Block Group 2, Census Tract 2.02, Suffolk County, Massachusetts",0.8359293873312564,0.03946002076843198,963,805,38
27,1500000US250251001003,"Block Group 3, Census Tract 1001, Suffolk County, Massachusetts",0.08198757763975155,0.8888198757763975,1610,132,1431
28,1500000US250259807001,"Block Group 1, Census Tract 9807, Suffolk County, Massachusetts",,,0,0,0
29,1500000US250250705001,"Block Group 1, Census Tract 705, Suffolk County, Massachusetts",0.8428940568475453,0.008268733850129198,1935,1631,16
30,1500000US250251705022,"Block Group 2, Census Tract 1705.02, Suffolk County, Massachusetts",0.8330275229357799,0.020795107033639144,1635,1362,34
31,1500000US250251303005,"Block Group 5, Census Tract 1303, Suffolk County, Massachusetts",0.9921671018276762,0.0,766,760,0
32,1500000US250250707002,"Block Group 2, Census Tract 707, Suffolk County, Massachusetts",0.6099865047233468,0.2213225371120108,1482,904,328
33,1500000US250250918003,"Block Group 3, Census Tract 918, Suffolk County, Massachusetts",0.05982905982905983,0.813034188034188,936,56,761
34,1500000US250251304041,"Block Group 1, Census Tract 1304.04, Suffolk County, Massachusetts",0.6487050960735171,0.189640768588137,2394,1553,454
35,1500000US250259816001,"Block Group 1, Census Tract 9816, Suffolk County, Massachusetts",,,0,0,0
36,1500000US250250701014,"Block Group 4, Census Tract 701.01, Suffolk County, Massachusetts",0.7426744805540757,0.02823654768247203,1877,1394,53
37,1500000US250250805002,"Block Group 2, Census Tract 805, Suffolk County, Massachusetts",0.1779781680113906,0.4641670621737067,2107,375,978
38,1500000US250251603002,"Block Group 2, Census Tract 1603, Suffolk County, Massachusetts",0.5252100840336135,0.12885154061624648,714,375,92
39,1500000US250250108023,"Block Group 3, Census Tract 108.02, Suffolk County, Massachusetts",0.9272445820433437,0.0,646,599,0
40,1500000US250250005044,"Block Group 4, Census Tract 5.04, Suffolk County, Massachusetts",0.80970625798212,0.07790549169859515,783,634,61
41,1500000US250250007043,"Block Group 3, Census Tract 7.04, Suffolk County, Massachusetts",0.6142625607779578,0.012965964343598054,1234,758,16
42,1500000US250251003003,"Block Group 3, Census Tract 1003, Suffolk County, Massachusetts",0.0,0.7001223990208079,817,0,572
43,1500000US250250607001,"Block Group 1, Census Tract 607, Suffolk County, Massachusetts",0.18776916451335057,0.4599483204134367,1161,218,534
44,1500000US250250906001,"Block Group 1, Census Tract 906, Suffolk County, Massachusetts",0.18329070758738278,0.6155157715260017,1173,215,722
45,1500000US250250601014,"Block Group 4, Census Tract 601.01, Suffolk County, Massachusetts",0.88671875,0.04296875,768,681,33
46,1500000US250250820001,"Block Group 1, Census Tract 820, Suffolk County, Massachusetts",0.196405648267009,0.7471116816431322,1558,306,1164
47,1500000US250250923001,"Block Group 1, Census Tract 923, Suffolk County, Massachusetts",0.16990920881971466,0.7380025940337225,771,131,569
48,1500000US250250507002,"Block Group 2, Census Tract 507, Suffolk County, Massachusetts",0.5544492843808339,0.03484754200373367,1607,891,56
49,1500000US250250701012,"Block Group 2, Census Tract 701.01, Suffolk County, Massachusetts",0.3834355828220859,0.07515337423312883,652,250,49
50,1500000US250251706012,"Block Group 2, Census Tract 1706.01, Suffolk County, Massachusetts",0.8364591147786947,0.0,1333,1115,0
51,1500000US250250610003,"Block Group 3, Census Tract 610, Suffolk County, Massachusetts",0.6283783783783784,0.13851351351351351,592,372,82
52,1500000US250250911002,"Block Group 2, Census Tract 911, Suffolk County, Massachusetts",0.7204081632653061,0.06326530612244897,980,706,62
53,1500000US250251202012,"Block Group 2, Census Tract 1202.01, Suffolk County, Massachusetts",0.6908284023668639,0.07593688362919132,2028,1401,154
54,1500000US250250304002,"Block Group 2, Census Tract 304, Suffolk County, Massachusetts",0.9534671532846716,0.009124087591240875,1096,1045,10
55,1500000US250250812002,"Block Group 2, Census Tract 812, Suffolk County, Massachusetts",0.5101611772950245,0.09110021023125438,1427,728,130
56,1500000US250251008005,"Block Group 5, Census Tract 1008, Suffolk County, Massachusetts",0.7895277207392197,0.14271047227926079,974,769,139
57,1500000US250251601014,"Block Group 4, Census Tract 1601.01, Suffolk County, Massachusetts",0.4550979068197164,0.02025658338960162,1481,674,30
58,1500000US250251605023,"Block Group 3, Census Tract 1605.02, Suffolk County, Massachusetts",0.44528301886792454,0.14264150943396225,1325,590,189
59,1500000US250251703002,"Block Group 2, Census Tract 1703, Suffolk County, Massachusetts",0.8374864572047671,0.12892741061755147,923,773,119
60,1500000US250251005003,"Block Group 3, Census Tract 1005, Suffolk County, Massachusetts",0.36573208722741435,0.4803738317757009,1605,587,771
61,1500000US250250102033,"Block Group 3, Census Tract 102.03, Suffolk County, Massachusetts",0.5733333333333334,0.04,1650,946,66
62,1500000US250250510003,"Block Group 3, Census Tract 510, Suffolk County, Massachusetts",0.687743950039032,0.0,1281,881,0
63,1500000US250251702001,"Block Group 1, Census Tract 1702, Suffolk County, Massachusetts",0.8355196770938446,0.0,991,828,0
64,1500000US250250922001,"Block Group 1, Census Tract 922, Suffolk County, Massachusetts",0.314709236031927,0.2782212086659065,877,276,244
65,1500000US250250901004,"Block Group 4, Census Tract 901, Suffolk County, Massachusetts",0.02019315188762072,0.6769095697980685,1139,23,771
66,1500000US250250511012,"Block Group 2, Census Tract 511.01, Suffolk County, Massachusetts",0.5243714725500257,0.01693175987685993,1949,1022,33
67,1500000US250250920003,"Block Group 3, Census Tract 920, Suffolk County, Massachusetts",0.35333333333333333,0.5866666666666667,900,318,528
68,1500000US250251006011,"Block Group 1, Census Tract 1006.01, Suffolk County, Massachusetts",0.4248578391551584,0.15759545085296506,1231,523,194
69,1500000US250250817003,"Block Group 3, Census Tract 817, Suffolk County, Massachusetts",0.06875753920386007,0.7044632086851629,829,57,584
70,1500000US250251803013,"Block Group 3, Census Tract 1803.01, Suffolk County, Massachusetts",0.9832962138084632,0.0,898,883,0
71,1500000US250250104032,"Block Group 2, Census Tract 104.03, Suffolk County, Massachusetts",0.7234762979683973,0.034988713318284424,886,641,31
72,1500000US250251004001,"Block Group 1, Census Tract 1004, Suffolk County, Massachusetts",0.2006153846153846,0.4763076923076923,1625,326,774
