,OBJECTID,ZIP5,ShapeSTArea,ShapeSTLength,zip,num_of_stops,Name,Geographic Unit,population,"Population Density (per sq. mile), 2019",black_pop,%black,white_pop,%white,crime,"Employees, Total (by Place of Work), 2019",resident_employee_ratio,num_of_people_stopped,black_num_of_stops,white_num_of_stops,stopped_per,stops_per,per_black_stopped_within_blacks,per_white_stopped_within_whites,per_stopped_black_to_white,%black_in_blacks,%white_in_whites
0,11.0,2119.0,44511498.5244141,37680.7020993546,02119,900.0,"02119, Roxbury, MA",Zip Code,30522.0,15528.3,17865.0,58.5316,4819.0,15.7886,148.0,6872.0,4.441501746216531,1764.0,1296.0,362.0,5.779437782583055,2.948692746215844,7.2544080604534,7.511931936086325,-0.25752387563292434,9.988426508327882,1.2843029345216044
1,10.0,2121.0,48905922.2434082,35217.5819232824,02121,525.0,"02121, Dorchester, MA",Zip Code,28000.0,25345.5,19762.0,70.5786,1913.0,6.8321,148.0,1902.0,14.721345951629864,951.0,812.0,70.0,3.396428571428572,1.875,4.10889586074284,3.659174072138003,0.44972178860483725,11.04905035866642,0.5098301543348889
2,4.0,2118.0,31161577.073486302,32353.407617599598,02118,500.0,"02118, Boston, MA",Zip Code,27863.0,31002.3,6227.0,22.3486,13271.0,47.6295,147.0,14993.0,1.8584005869405722,798.0,453.0,305.0,2.864013207479453,1.7944944909019127,7.274771157860928,2.298244292065406,4.976526865795522,3.481552301559346,3.53683009836817
3,2.0,2125.0,64760516.6159668,62224.521439968,02125,360.0,"02125, Dorchester, MA",Zip Code,36057.0,16595.8,10783.0,29.9054,11854.0,32.8757,126.0,11724.0,3.0754861821903785,621.0,463.0,111.0,1.7222730676428988,0.9984191696480573,4.293795789668923,0.936392778808841,3.3574030108600823,6.028838681181055,3.1591880028676282
4,17.0,2124.0,85658048.0522461,57673.0077470162,02124,447.0,"02124, Dorchester Center, MA",Zip Code,53286.0,17224.1,31356.0,58.8447,10454.0,19.6187,105.0,6461.0,8.247330134654078,815.0,689.0,66.0,1.529482415643884,0.838869496678302,2.197346600331675,0.6313372871628085,1.5660093131688666,17.531323906808232,2.7860765464803596
5,5.0,2126.0,60785850.3103027,45488.3947113255,02126,213.0,"02126, Mattapan, MA",Zip Code,26000.0,12905.9,21332.0,82.0462,1734.0,6.6692,103.0,2151.0,12.08740120874012,354.0,285.0,43.0,1.3615384615384616,0.8192307692307691,1.3360210013125822,2.4798154555940024,-1.1437944542814202,11.926846586938169,0.46212518955394527
6,27.0,2120.0,17329493.551025398,28148.299905881202,02120,110.0,"02120, Roxbury Crossing, MA",Zip Code,16784.0,24996.1,4151.0,24.7319,8412.0,50.1192,115.0,5273.0,3.18300777545989,212.0,175.0,19.0,1.263107721639657,0.6553860819828408,4.215851602023609,0.22586780789348548,3.989983794130124,2.3208484990802707,2.2418668365212153
7,32.0,2122.0,61086361.343261704,74811.1840081161,02122,128.0,"02122, Dorchester, MA",Zip Code,25649.0,16551.3,7767.0,30.2819,8833.0,34.438,121.0,8197.0,3.1290716115652066,204.0,150.0,35.0,0.7953526453273032,0.49904479706811183,1.9312475859405174,0.3962413675987773,1.5350062183417401,4.342575353494691,2.3540667816205296
8,30.0,2129.0,42249762.5300293,38078.0954538402,02129,82.0,"02129, Charlestown, MA",Zip Code,17632.0,13705.0,1115.0,6.3237,13688.0,77.6316,108.0,12896.0,1.3672456575682381,132.0,73.0,50.0,0.7486388384754991,0.4650635208711434,6.547085201793721,0.3652834599649328,6.181801741828789,0.623403053836305,3.64796401073495
9,1.0,2134.0,37219357.2770996,40794.1823959767,02134,96.0,"02134, Allston, MA",Zip Code,23402.0,24328.7,1297.0,5.5423,14645.0,62.5801,130.0,10979.0,2.131523818198379,159.0,70.0,77.0,0.6794291086231946,0.41022134860268356,5.397070161912105,0.5257767156025948,4.871293446309511,0.7251603236104821,3.903012341993961
