ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",3615,"Boston, MA","16000US2507000","boston-ma",155733,0.2237781028442679
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",4382.055225576236,"Boston, MA","16000US2507000","boston-ma",20932,0.030077910582446986
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",5936,"Boston, MA","16000US2507000","boston-ma",309275,0.4444078824472717
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",6500,"Boston, MA","16000US2507000","boston-ma",45203,0.06495374508209206
0,"White Alone",1,"Hispanic or Latino",2018,"2018",7107.000000000001,"Boston, MA","16000US2507000","boston-ma",56065,0.08056172639044956
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",1759.9999999999998,"Boston, MA","16000US2507000","boston-ma",5505,0.0079103237987947
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",211,"Boston, MA","16000US2507000","boston-ma",0,0
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",2968.1585200255054,"Boston, MA","16000US2507000","boston-ma",19410,0.02789089644588649
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",201,"Boston, MA","16000US2507000","boston-ma",165,0.00023709417380583567
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",4025.9999999999995,"Boston, MA","16000US2507000","boston-ma",15071,0.02165603814198636
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",1055,"Boston, MA","16000US2507000","boston-ma",1318,0.0018938795216732814
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",2779,"Boston, MA","16000US2507000","boston-ma",64943,0.09331882987559022
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",744,"Boston, MA","16000US2507000","boston-ma",1708,0.0024542839324870748
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",456.00000000000006,"Boston, MA","16000US2507000","boston-ma",598,0.0008592867632478166
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",6165,"Boston, MA","16000US2507000","boston-ma",44431,0.0650512799865303
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",65,"Boston, MA","16000US2507000","boston-ma",40,0.00005856386755781352
0,"White Alone",1,"Hispanic or Latino",2017,"2017",6391,"Boston, MA","16000US2507000","boston-ma",60630,0.08876818225075583
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",210,"Boston, MA","16000US2507000","boston-ma",0,0
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",4296,"Boston, MA","16000US2507000","boston-ma",18788,0.027507448591905008
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",3617.1065784684865,"Boston, MA","16000US2507000","boston-ma",14978,0.021929240207023273
